AccountAge,MonthlyCharges,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,SupportTicketsPerMonth,WatchlistSize,TotalCharges_log,SubscriptionType_Premium,SubscriptionType_Standard,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,PaperlessBilling_Yes,ContentType_Movies,ContentType_TV Shows,MultiDeviceAccess_Yes,DeviceRegistered_Mobile,DeviceRegistered_TV,DeviceRegistered_Tablet,GenrePreference_Comedy,GenrePreference_Drama,GenrePreference_Fantasy,GenrePreference_Sci-Fi,Gender_Male,ParentalControl_Yes
-0.5207477849849201,0.9264029930535924,-0.6116565802764501,-0.889974973198929,-0.8734971195507898,0.8754658366903254,-0.9806407772049456,0.2210214648637737,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.1121815357611831,0.1238247353255532,-1.0403689208864415,0.2276941884029598,1.731541395680237,-0.8424462281709145,-0.701286948700392,0.4360831132033017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.7920032081618216,-1.7913162914096654,0.8733298907752675,0.5721192412715527,0.4642253612435212,-0.8424462281709145,0.416128365317822,-1.297096515709588,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.3231579760098843,0.7568874090173083,-0.1152528224060566,-0.858200471058133,1.0274769321042838,-0.4988638151986665,1.6732205935883129,0.3397995402976733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.3834369589380846,-1.8320696334059037,-1.1319515950587111,-0.4058363457722137,0.0417866830979493,-0.8424462281709145,0.2764514510655453,-0.4439038805269092,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.3345140545156244,0.4945920064472144,-0.8634899677108412,-0.558762657489071,0.6754447003163072,-0.4988638151986665,-1.3996715199617755,-1.1034693283777564,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.6492956004302912,0.9732455651725992,-0.0080056959935131,0.5528156973248021,-1.5775615831267429,-0.4988638151986665,0.1367745368132685,1.2826871304608614,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.3399108362003192,0.1994013998704922,0.0684643058626606,-1.0043823027170529,1.520322056607451,-1.1860286411431624,-0.5616100344481153,0.1523729498677193,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.1590738874157182,-0.8601514559619278,0.6675311236838378,1.49951522458789,1.309102717534665,-1.5296110541154104,0.8351591080746523,-0.1427837591406752,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.0987949044875179,1.8806647139775656,-0.2574044840221379,-0.3755338627117887,0.5346318076011165,0.8754658366903254,-0.142579291691285,0.7858720338624837,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.7095745833584914,-0.7267702761868551,-0.236300623203627,0.0847691902986459,-1.5775615831267429,1.2190482496625734,-1.6790253484663291,0.78667033086275,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
-1.6660484606207262,-1.4837383907770747,-1.666838940920378,0.735357403349966,-0.6622777804780038,-1.5296110541154104,-0.8409638629526688,-3.662771178141924,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0385159215593176,1.5676449989778192,1.008981165246186,1.642548849860085,0.2530060221707352,-1.1860286411431624,-0.2822562059435617,-0.2046409090105989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.589016617502091,1.0982341980333874,-0.8289371343849425,1.0032344602916587,0.6050382539587119,0.5318834237180774,0.1367745368132685,-0.4917194187897151,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.0083764300952174,1.2176399181358717,-1.5651741124092686,-1.1653873237046315,-1.0143100122659805,-1.5296110541154104,0.416128365317822,0.6862587635034694,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-1.5756299862284255,-0.4852045508277893,0.8364789399513005,-1.597237959624109,0.3234124685283306,-0.1552814022264185,0.2764514510655453,-1.9693561485830693,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.5039949247944853,0.2515988934305831,0.2777723087877305,0.5730097996188612,1.5907285029650462,0.1883010107458294,0.6954821938223756,0.6919750491750479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
